Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Autres couleurs (product.metafields.custom.autres_couleurs),Autres couleurs disponibles waffle (product.metafields.custom.autres_couleurs_disponibles_waffle),Linked colors (product.metafields.custom.linked_colors),Restock badge (product.metafields.custom.restock_badge),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Nombre d’évaluations de produit (product.metafields.reviews.rating_count),Tranche d’âge (product.metafields.shopify.age-group),Caractéristiques des vêtements (product.metafields.shopify.clothing-features),Couleur (product.metafields.shopify.color-pattern),Tissu (product.metafields.shopify.fabric),Décolleté (product.metafields.shopify.neckline),Taille (product.metafields.shopify.size),Type de longueur du manche (product.metafields.shopify.sleeve-length-type),Sexe cible (product.metafields.shopify.target-gender),Type de longueur du haut (product.metafields.shopify.top-length-type),Produits complémentaires (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produits connexes (product.metafields.shopify--discovery--product_recommendation.related_products),Paramètres des produits connexes (product.metafields.shopify--discovery--product_recommendation.related_products_display),Mises en avant de produits dans la recherche (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
bleak-zip,,,,,,,,,L,,,Yes (+5€),,,,,ZIP-L-BLKP,1240.0,shopify,0,deny,manual,99.99,,true,true,,,,,ZIP-L-BLKP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
bleak-zip,,,,,,,,,L,,,No,,,,,ZIP-L-BLK,1240.0,shopify,0,deny,manual,94.99,,true,true,,,,,ZIP-L-BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
bleak-zip,,,,,,,,,XL,,,Yes (+5€),,,,,ZIP-XL-BLKP,1290.0,shopify,0,deny,manual,99.99,,true,true,,,,,ZIP-XL-BLKP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
bleak-zip,,,,,,,,,XL,,,No,,,,,ZIP-XL-BLK,1290.0,shopify,0,deny,manual,94.99,,true,true,,,,,ZIP-XL-BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
passion-zip,Passion Zip,"<ul>
<li class=""p1"">
<span class=""s1"">Color :</span> Red</li>
<li class=""p1"">
<span class=""s1"">Material :</span> 100% cotton</li>
<li class=""p2"">French Terry fabric</li>
<li class=""p2"">420 GSM</li>
<li class=""p2"">Full acid-wash finish</li>
<li class=""p2"">
<strong>Distressed details</strong> on hood, sleeves and pockets</li>
<li class=""p2"">Embroidered + printed front logo</li>
<li class=""p2"">Double YKK zipper<br>
</li>
<li class=""p2"">Every order comes with exclusive goodies &lt;3<br>
</li>
</ul>",Noclout,Apparel & Accessories > Clothing Accessories > Hats,"","",true,Size,XS,,NFC,Yes (+5€),,,,,ZIP-XS-PSNP,1090.0,shopify,0,deny,manual,99.99,,true,true,,,,,ZIP-XS-PSNP,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_ZIP_ROUGE_1.jpg?v=1765798346,1,"",false,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
passion-zip,,,,,,,,,XS,,,No,,,,,ZIP-XS-PSN,1090.0,shopify,2,deny,manual,94.99,,true,true,,,,,ZIP-XS-PSN,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_ZIP_ROUGE_2.jpg?v=1765798346,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
passion-zip,,,,,,,,,S,,,Yes (+5€),,,,,ZIP-S-PSNP,1140.0,shopify,0,deny,manual,99.99,,true,true,,,,,ZIP-S-PSNP,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_ZIP_ROUGE_3.jpg?v=1765798346,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
passion-zip,,,,,,,,,S,,,No,,,,,ZIP-S-PSN,1140.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-S-PSN,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_ZIP_ROUGE_4.jpg?v=1765798345,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
passion-zip,,,,,,,,,M,,,Yes (+5€),,,,,ZIP-M-PSNP,1190.0,shopify,0,deny,manual,99.99,,true,true,,,,,ZIP-M-PSNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
passion-zip,,,,,,,,,M,,,No,,,,,ZIP-M-PSN,1190.0,shopify,0,deny,manual,94.99,,true,true,,,,,ZIP-M-PSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
passion-zip,,,,,,,,,L,,,Yes (+5€),,,,,ZIP-L-PSNP,1240.0,shopify,0,deny,manual,99.99,,true,true,,,,,ZIP-L-PSNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
passion-zip,,,,,,,,,L,,,No,,,,,ZIP-L-PSN,1240.0,shopify,0,deny,manual,94.99,,true,true,,,,,ZIP-L-PSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
passion-zip,,,,,,,,,XL,,,Yes (+5€),,,,,ZIP-XL-PSNP,1290.0,shopify,0,deny,manual,99.99,,true,true,,,,,ZIP-XL-PSNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
passion-zip,,,,,,,,,XL,,,No,,,,,ZIP-XL-PSN,1290.0,shopify,0,deny,manual,94.99,,true,true,,,,,ZIP-XL-PSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
plume-hoodie,Plume Hoodie,"<ul>
<li>
<p>Colors : Gray<br></p>
</li>
<li>
<p>Lining on the hood and the kangaroo pocket</p>
</li>
<li>
<p>380 GSM</p>
</li>
<li>
<p>80% cotton 20% Polyester</p>
</li>
<li>
<p>Front logo embroidered</p>
</li>
<li>
<p>Front and back sleeve panels <br></p>
</li>
<li>
<p>Every order includes exclusive goodies &lt;3<br></p>
</li>
</ul>",Noclout,Apparel & Accessories,"",PRECO,true,Size,XS,,Color,Red Checks,,,,,HDE-XS-PLMR,760.0,shopify,0,deny,manual,89.99,,true,true,,,,,HDE-XS-PLMR,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Plume_Hoodie_Face_Bleu.jpg?v=1771509888,1,"",false,,,,,,,,,,,,,,,,,,,'1,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Plume_Hoodie_Face_Rouge.jpg?v=1771509888,kg,,,active
plume-hoodie,,,,,,,,,XS,,,Blue Checks,,,,,HDE-XS-PLMB,760.0,shopify,0,deny,manual,89.99,,true,true,,,,,HDE-XS-PLMB,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Plume_Hoodie_Face_Rouge.jpg?v=1771509888,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Plume_Hoodie_Face_Bleu.jpg?v=1771509888,kg,,,
plume-hoodie,,,,,,,,,S,,,Red Checks,,,,,HDE-S-PLMR,810.0,shopify,0,deny,manual,89.99,,true,true,,,,,HDE-S-PLMR,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Plume_Hoodie_Dos.jpg?v=1771509888,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Plume_Hoodie_Face_Rouge.jpg?v=1771509888,kg,,,
plume-hoodie,,,,,,,,,S,,,Blue Checks,,,,,HDE-S-PLMB,810.0,shopify,0,deny,manual,89.99,,true,true,,,,,HDE-S-PLMB,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_HOODIE_GRIS_ROUGE_3.jpg?v=1771509888,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Plume_Hoodie_Face_Bleu.jpg?v=1771509888,kg,,,
plume-hoodie,,,,,,,,,M,,,Red Checks,,,,,HDE-M-PLMR,860.0,shopify,0,deny,manual,89.99,,true,true,,,,,HDE-M-PLMR,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_HOODIE_GRIS_ROUGE_4.jpg?v=1771509888,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Plume_Hoodie_Face_Rouge.jpg?v=1771509888,kg,,,
plume-hoodie,,,,,,,,,M,,,Blue Checks,,,,,HDE-M-PLMB,860.0,shopify,0,deny,manual,89.99,,true,true,,,,,HDE-M-PLMB,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_HOODIE_GRIS_ROUGE_5.jpg?v=1771509888,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Plume_Hoodie_Face_Bleu.jpg?v=1771509888,kg,,,
plume-hoodie,,,,,,,,,L,,,Red Checks,,,,,HDE-L-PLMR,900.0,shopify,0,deny,manual,89.99,,true,true,,,,,HDE-L-PLMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Plume_Hoodie_Face_Rouge.jpg?v=1771509888,kg,,,
plume-hoodie,,,,,,,,,L,,,Blue Checks,,,,,HDE-L-PLMB,900.0,shopify,0,deny,manual,89.99,,true,true,,,,,HDE-L-PLMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Plume_Hoodie_Face_Bleu.jpg?v=1771509888,kg,,,
plume-hoodie,,,,,,,,,XL,,,Red Checks,,,,,HDE-XL-PLMR,940.0,shopify,0,deny,manual,89.99,,true,true,,,,,HDE-XL-PLMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Plume_Hoodie_Face_Rouge.jpg?v=1771509888,kg,,,
plume-hoodie,,,,,,,,,XL,,,Blue Checks,,,,,HDE-XL-PLMB,940.0,shopify,0,deny,manual,89.99,,true,true,,,,,HDE-XL-PLMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Plume_Hoodie_Face_Bleu.jpg?v=1771509888,kg,,,
plume-tracksuits,Plume Tracksuits,"<ul>
<li class=""p1"">
<span class=""s1"">Color :</span> Gray</li>
<li class=""p1"">
<span class=""s1"">Material :</span> 100% cotton</li>
<li class=""p1"">380 GSM</li>
<li class=""p1"">Paneled construction on front and back legs</li>
<li class=""p2"">3D embroidered logo on back pocket</li>
<li class=""p2"">Adjustable drawstrings at waist and cuffs</li>
<li class=""p2"">Every order comes with exclusive goodies &lt;3<br>
</li>
</ul>",Noclout,Uncategorized,"","",true,Size,XS,,,,,,,,TKS-XS-PLUM,1150.0,shopify,1,deny,manual,84.99,,true,true,,,,,TKS-XS-PLUM,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_JOGGING_GRIS_2.jpg?v=1765798571,1,"",false,,,,,,,,,,,,,,,,,,,'2,,,,,,,,,,,,,,,kg,,,active
plume-tracksuits,,,,,,,,,S,,,,,,,,TKS-S-PLUM,1200.0,shopify,4,deny,manual,84.99,,true,true,,,,,TKS-S-PLUM,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_JOGGING_GRIS_1.jpg?v=1765798571,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
plume-tracksuits,,,,,,,,,M,,,,,,,,TKS-M-PLUM,1250.0,shopify,0,deny,manual,84.99,,true,true,,,,,TKS-M-PLUM,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_JOGGING_GRIS_3.jpg?v=1765798571,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
plume-tracksuits,,,,,,,,,L,,,,,,,,TKS-L-PLUM,1300.0,shopify,0,deny,manual,84.99,,true,true,,,,,TKS-L-PLUM,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_JOGGING_GRIS_4.jpg?v=1765798570,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
plume-tracksuits,,,,,,,,,XL,,,,,,,,TKS-XL-PLUM,1350.0,shopify,4,deny,manual,84.99,,true,true,,,,,TKS-XL-PLUM,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_JOGGING_GRIS_5.jpg?v=1765798571,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ebene-set-tee,Brown & Blue Set - Tee,"<ul>
<li class=""p1"">
<span class=""s1"">Colors :</span> Brown, Blue</li>
<li class=""p1"">
<span class=""s1"">Material :</span> 100% cotton</li>
<li class=""p1"">305 GSM</li>
<li class=""p2"">Blue topstitching details on the tee-shirt</li>
<li class=""p2"">Embroidered back logo</li>
<li class=""p2"">Fitted collar</li>
<li class=""p2"">Every order comes with exclusive goodies &lt;3<br>
</li>
</ul>",Noclout,Apparel & Accessories > Clothing Accessories > Hats,"","",true,Size,XS,,,,,,,,TEE-XS-SBB,460.0,shopify,1,deny,manual,49.99,,true,true,,,,,TEE-XS-SBB,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_MARRON_1.jpg?v=1765798648,1,"",false,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
ebene-set-tee,,,,,,,,,S,,,,,,,,TEE-S-SBB,470.0,shopify,6,deny,manual,49.99,,true,true,,,,,TEE-S-SBB,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_MARRON_2.jpg?v=1765798648,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ebene-set-tee,,,,,,,,,M,,,,,,,,TEE-M-SBB,480.0,shopify,1,deny,manual,49.99,,true,true,,,,,TEE-M-SBB,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_MARRON_3.jpg?v=1765798647,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ebene-set-tee,,,,,,,,,L,,,,,,,,TEE-L-SBB,490.0,shopify,1,deny,manual,49.99,,true,true,,,,,TEE-L-SBB,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_MARRON_4.jpg?v=1765798647,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ebene-set-tee,,,,,,,,,XL,,,,,,,,TEE-XL-SBB,500.0,shopify,4,deny,manual,49.99,,true,true,,,,,TEE-XL-SBB,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_MARRON_5.jpg?v=1765798647,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
blason-tee,Blason Tee,"<ul>
<li class=""p1"">
<span class=""s1"">Colors :</span> Cream</li>
<li class=""p1"">
<span class=""s1"">Material :</span> 100% cotton</li>
<li class=""p1"">305 GSM</li>
<li class=""p2"">Embroidered back logo + UV Reactive print (appears when sun is around)</li>
<li class=""p2"">Embroidered front logo</li>
<li class=""p2"">Raglan sleeves construction</li>
<li class=""p2"">Fitted collar</li>
<li class=""p2"">Every order comes with exclusive goodies &lt;3<br>
</li>
</ul>",Noclout,Apparel & Accessories > Clothing Accessories > Hats,"","",true,Size,XS,,,,,,,,TEE-XS-BLSN,460.0,shopify,9,deny,manual,49.99,,true,true,,,,,TEE-XS-BLSN,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS---TEE-RAGLAN-BLASON-BEIGE-4.gif?v=1765798725,1,"",false,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
blason-tee,,,,,,,,,S,,,,,,,,TEE-S-BLSN,470.0,shopify,23,deny,manual,49.99,,true,true,,,,,TEE-S-BLSN,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_RAGLAN_BLASON_BEIGE_1.jpg?v=1765798724,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
blason-tee,,,,,,,,,M,,,,,,,,TEE-M-BLSN,480.0,shopify,0,deny,manual,49.99,,true,true,,,,,TEE-M-BLSN,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_RAGLAN_BLASON_BEIGE_5_d8c72410-8b78-4f74-b5d4-11ec59635baf.jpg?v=1765880899,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
blason-tee,,,,,,,,,L,,,,,,,,TEE-L-BLSN,490.0,shopify,18,deny,manual,49.99,,true,true,,,,,TEE-L-BLSN,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_RAGLAN_BLASON_BEIGE_6.jpg?v=1765880899,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
blason-tee,,,,,,,,,XL,,,,,,,,TEE-XL-BLSN,500.0,shopify,6,deny,manual,49.99,,true,true,,,,,TEE-XL-BLSN,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_RAGLAN_BLASON_BEIGE_8.jpg?v=1765880899,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ebene-set-belt,Brown & Blue Set - Belt,"<ul>
<li class=""p1"">Color: Brown, Blue (reversible)</li>
<li class=""p1"">Material: 100% genuine cow leather</li>
<li class=""p1"">Universal size — fully adjustable (guide included)</li>
<li class=""p1"">Metal-molded logo at belt tip</li>
<li class=""p1"">Reversible buckle</li>
<li class=""p1"">Delivered in a custom bag</li>
<li class=""p1"">Every order comes with exclusive goodies &lt;3<br>
</li>
</ul>",Noclout,Apparel & Accessories,"","",true,Title,Default Title,,,,,,,,,350.0,shopify,0,deny,manual,59.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_CEINTURE_REVERSE_2.jpg?v=1765798602,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
ebene-set-belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_CEINTURE_REVERSE_3.jpg?v=1765798602,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebene-set-belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_CEINTURE_REVERSE_4.jpg?v=1774351491,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebene-set-belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_CEINTURE_REVERSE_5.jpg?v=1774351491,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bleak-raglan-tee-copie,Bleak Raglan Tee,"<ul>
<li class=""p1"">
<span class=""s1"">Colors : Light Blue, Dark Blue</span>,</li>
<li class=""p1"">
<span class=""s1"">Material :</span> 100% cotton</li>
<li class=""p1"">305 GSM</li>
<li class=""p2"">Raglan sleeve construction</li>
<li class=""p2"">Embroidered front logo</li>
<li class=""p2"">Fitted collar</li>
<li class=""p2"">Every order comes with exclusive goodies &lt;3<br>
</li>
</ul>",Noclout,Apparel & Accessories > Clothing Accessories > Hats,"","",true,Size,XS,,,,,,,,TEE-XS-RBLK,460.0,shopify,7,deny,manual,39.99,,true,true,,,,,TEE-XS-RBLK,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_RAGLAN_BLEU_1.jpg?v=1765798492,1,"",false,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
bleak-raglan-tee-copie,,,,,,,,,S,,,,,,,,TEE-S-RBLK,470.0,shopify,17,deny,manual,39.99,,true,true,,,,,TEE-S-RBLK,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_RAGLAN_BLEU_2.jpg?v=1765798492,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
bleak-raglan-tee-copie,,,,,,,,,M,,,,,,,,TEE-M-RBLK,480.0,shopify,0,deny,manual,39.99,,true,true,,,,,TEE-M-RBLK,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_RAGLAN_BLEU_3.jpg?v=1765798491,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
bleak-raglan-tee-copie,,,,,,,,,L,,,,,,,,TEE-L-RBLK,490.0,shopify,9,deny,manual,39.99,,true,true,,,,,TEE-L-RBLK,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_RAGLAN_BLEU_4.jpg?v=1765798492,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
bleak-raglan-tee-copie,,,,,,,,,XL,,,,,,,,TEE-XL-RBLK,500.0,shopify,4,deny,manual,39.99,,true,true,,,,,TEE-XL-RBLK,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_RAGLAN_BLEU_5.jpg?v=1765798492,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
passion-raglan-tee,Passion Raglan Tee,"<ul>
<li class=""p1"">
<span class=""s1"">Colors :</span> Light Red, Dark Red</li>
<li class=""p1"">
<span class=""s1"">Material :</span> 100% cotton</li>
<li class=""p1"">305 GSM</li>
<li class=""p2"">Raglan sleeve construction</li>
<li class=""p2"">Embroidered front logo</li>
<li class=""p2"">Fitted collar</li>
<li class=""p2"">Every order comes with exclusive goodies &lt;3<br>
</li>
</ul>",Noclout,Apparel & Accessories > Clothing Accessories > Hats,"","",true,Size,XS,,,,,,,,TEE-XS-RPSN,460.0,shopify,4,deny,manual,39.99,,true,true,,,,,TEE-XS-RPSN,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_RAGLAN_ROUGE_1.jpg?v=1765798483,1,"",false,,,173,,,,,,,,,,,,,,,,'1,,,,,,,,,,,,,,,kg,,,active
passion-raglan-tee,,,,,,,,,S,,,,,,,,TEE-S-RPSN,470.0,shopify,10,deny,manual,39.99,,true,true,,,,,TEE-S-RPSN,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_RAGLAN_ROUGE_2.jpg?v=1765798483,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
passion-raglan-tee,,,,,,,,,M,,,,,,,,TEE-M-RPSN,480.0,shopify,0,deny,manual,39.99,,true,true,,,,,TEE-M-RPSN,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_RAGLAN_ROUGE_3.jpg?v=1765798482,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
passion-raglan-tee,,,,,,,,,L,,,,,,,,TEE-L-RPSN,490.0,shopify,5,deny,manual,39.99,,true,true,,,,,TEE-L-RPSN,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_RAGLAN_ROUGE_4.jpg?v=1765798482,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
passion-raglan-tee,,,,,,,,,XL,,,,,,,,TEE-XL-RPSN,500.0,shopify,4,deny,manual,39.99,,true,true,,,,,TEE-XL-RPSN,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_-_TEE_RAGLAN_ROUGE_5.jpg?v=1765798483,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
aoki-caps,Aoki Caps,"<ul>
<li class=""p1"">
<span class=""s1"">Color :</span> Blue</li>
<li class=""p1"">
<span class=""s1"">Material :</span> 100% polyester</li>
<li class=""p2"">One size — fully adjustable</li>
<li class=""p2"">Embroidered front logo</li>
<li class=""p2"">3D embroidery under the visor</li>
<li class=""p2"">Branded interior taping</li>
<li class=""p2"">Every order comes with exclusive goodies &lt;3<br>
</li>
</ul>",Noclout,Apparel & Accessories,"","",true,Price,34.99€,,,,,,,,ACS-HT-AOKI,200.0,shopify,56,deny,manual,34.99,,true,true,,,,,ACS-HT-AOKI,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_CAP_BLEU_1.jpg?v=1765798615,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
aoki-caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_CAP_BLEU_2.jpg?v=1765798616,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aoki-caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_CAP_BLEU_3.jpg?v=1765798616,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aoki-caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_CAP_BLEU_4.jpg?v=1765798615,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akai-caps,Akaï Caps,"<ul>
<li class=""p1"">
<span class=""s1"">Color :</span> Red</li>
<li class=""p1"">
<span class=""s1"">Material :</span> 100% polyester</li>
<li class=""p2"">One size — fully adjustable</li>
<li class=""p2"">Embroidered front logo</li>
<li class=""p2"">3D embroidery under the visor</li>
<li class=""p2"">Branded interior taping</li>
<li class=""p2"">Every order comes with exclusive goodies &lt;3<br>
</li>
</ul>",Noclout,Apparel & Accessories,"","",true,Price,34.99€,,,,,,,,ACS-HT-AKAI,200.0,shopify,60,deny,manual,34.99,,true,true,,,,,ACS-HT-AKAI,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_CAP_ROUGE_1.jpg?v=1765798633,1,"",false,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,active
akai-caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_CAP_ROUGE_2.jpg?v=1765798634,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akai-caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/COLORS_CAP_ROUGE_3.jpg?v=1765798633,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
